"id";"average_length_inches";"average_weight_inches";"habitat";"ph_of_water";"color";"Gender";"life_span";"fish_size"
1;14.69;5.87;"ponds";6.2;"Reddish_Orange";"FALSE";10.9;"big"
2;1.32;3.86;"idlewater";6.8;"Calico";"TRUE";5.2;"really small"
3;14.23;12.09;"lakes";7.9;"Reddish_Orange";"TRUE";25.3;"big"
4;2.54;3.2;"rivers";6.7;"White";"FALSE";16.4;"really small"
5;13.1;9.81;"lakes";7.8;"Orange";"TRUE";3.2;"big"
6;15.2;8.99;"lakes";7.8;"White";"FALSE";21.6;"really big"
7;16.17;5.08;"ponds";6.3;"Red_and_Silver";"FALSE";10.9;"really big"
8;13.74;13.01;"rivers";6.7;"White";"FALSE";23.1;"big"
9;13.21;5.22;"lakes";7.6;"Black_and_Orange";"FALSE";5.4;"big"
10;19.04;15.54;"rivers";6.7;"Calico";"TRUE";8.6;"really big"
11;19.92;3.93;"ponds";7.2;"Yellow";"FALSE";21.7;"really big"
12;1.1;8.79;"rivers";6.1;"White";"TRUE";13.4;"really small"
13;10.83;13.0;"rivers";7.6;"Reddish_Orange";"TRUE";6.6;"big"
14;5.97;11.1;"ponds";6.4;"Black_and_Orange";"FALSE";26.6;"small"
15;18.94;11.98;"slowmovingwaters";6.3;"Black_and_Orange";"FALSE";3.6;"really big"
16;7.62;11.7;"lakes";7.9;"Black_and_Orange";"FALSE";13.3;"small"
17;18.41;16.52;"idlewater";6.7;"Orange";"FALSE";10.1;"really big"
18;9.1;16.99;"slowmovingwaters";6.6;"Calico";"TRUE";13.7;"small"
19;15.02;11.8;"lakes";7.3;"Reddish_Orange";"FALSE";12.2;"really big"
20;17.69;8.49;"ponds";6.8;"Black_and_Orange";"FALSE";24.1;"really big"
21;16.37;13.29;"lakes";7.1;"Calico";"TRUE";12.5;"really big"
22;4.7;4.5;"idlewater";7.8;"Red_and_White_Bi_Color";"TRUE";27.7;"really small"
23;18.37;15.16;"lakes";6.3;"Orange";"TRUE";22.4;"really big"
24;2.79;16.68;"slowmovingwaters";8.0;"Red_and_Silver";"TRUE";16.1;"really small"
25;19.87;18.59;"lakes";7.6;"Orange";"TRUE";10.0;"really big"
26;13.93;10.21;"rivers";7.1;"Green_and_Chocolate";"TRUE";15.4;"big"
27;19.72;10.48;"rivers";7.8;"Red_and_Silver";"FALSE";10.6;"really big"
28;2.56;10.26;"slowmovingwaters";7.7;"Red_and_White_Bi_Color";"TRUE";7.7;"really small"
29;3.97;9.04;"slowmovingwaters";7.7;"White";"TRUE";26.1;"really small"
30;16.92;2.91;"ponds";6.3;"Orange";"TRUE";8.8;"really big"
31;9.51;3.57;"slowmovingwaters";6.7;"Red_and_Silver";"FALSE";19.4;"small"
32;5.73;16.68;"slowmovingwaters";6.3;"White";"TRUE";24.2;"small"
33;7.16;12.51;"rivers";7.8;"Green_and_Chocolate";"TRUE";4.4;"small"
34;17.0;6.27;"idlewater";7.5;"Orange";"FALSE";27.0;"really big"
35;18.3;13.69;"slowmovingwaters";6.5;"Calico";"FALSE";25.0;"really big"
36;6.06;14.69;"rivers";7.4;"Yellow";"FALSE";1.8;"small"
37;17.72;16.49;"ponds";7.1;"Green_and_Chocolate";"TRUE";24.6;"really big"
38;19.46;3.19;"rivers";6.6;"Black_and_Orange";"FALSE";27.0;"really big"
39;1.01;18.29;"lakes";6.3;"Green_and_Chocolate";"TRUE";17.8;"really small"
40;2.18;3.97;"ponds";7.4;"Red_and_Silver";"TRUE";4.9;"really small"
41;7.3;9.88;"ponds";7.9;"Black_and_Orange";"TRUE";27.7;"small"
42;15.48;18.24;"lakes";6.5;"Calico";"TRUE";1.9;"really big"
43;7.85;11.57;"idlewater";7.8;"White";"TRUE";6.2;"small"
44;10.96;10.01;"rivers";7.5;"Black_and_Orange";"TRUE";1.7;"big"
45;3.61;8.63;"slowmovingwaters";7.8;"Reddish_Orange";"TRUE";22.9;"really small"
46;10.28;5.23;"rivers";7.1;"Red_and_Silver";"FALSE";24.6;"big"
47;11.54;8.15;"lakes";7.0;"Black_and_Orange";"TRUE";13.8;"big"
48;1.64;15.99;"lakes";7.5;"Calico";"FALSE";20.8;"really small"
49;6.6;8.78;"ponds";6.7;"White";"TRUE";12.8;"small"
50;11.54;11.67;"lakes";8.0;"Red_and_Silver";"FALSE";19.4;"big"
51;2.6;8.97;"lakes";6.1;"Red_and_White_Bi_Color";"TRUE";21.2;"really small"
52;7.86;7.75;"slowmovingwaters";6.2;"Red_and_White_Bi_Color";"FALSE";7.9;"small"
53;2.93;12.07;"slowmovingwaters";7.8;"Orange";"FALSE";13.2;"really small"
54;17.67;12.24;"slowmovingwaters";7.6;"Yellow";"TRUE";16.0;"really big"
55;10.89;17.22;"slowmovingwaters";7.0;"Green_and_Chocolate";"TRUE";17.2;"big"
56;16.96;8.97;"idlewater";7.5;"Red_and_White_Bi_Color";"TRUE";8.2;"really big"
57;10.96;13.29;"slowmovingwaters";7.1;"Red_and_White_Bi_Color";"TRUE";26.5;"big"
58;8.91;7.82;"idlewater";6.8;"Red_and_Silver";"TRUE";7.2;"small"
59;18.68;10.36;"lakes";7.8;"Red_and_Silver";"FALSE";11.4;"really big"
60;11.61;15.09;"rivers";6.7;"Red_and_Silver";"TRUE";21.2;"big"
61;2.48;15.23;"idlewater";6.5;"Red_and_Silver";"TRUE";21.5;"really small"
62;7.95;8.7;"ponds";7.5;"Red_and_Silver";"TRUE";20.1;"small"
63;18.19;5.84;"ponds";6.3;"Red_and_Silver";"FALSE";25.9;"really big"
64;19.38;11.89;"ponds";6.5;"White";"TRUE";11.6;"really big"
65;4.53;7.99;"ponds";7.0;"Green_and_Chocolate";"FALSE";15.1;"really small"
66;13.25;18.9;"ponds";6.9;"White";"TRUE";15.6;"big"
67;10.23;16.19;"slowmovingwaters";6.3;"Green_and_Chocolate";"FALSE";2.5;"big"
68;6.96;9.46;"rivers";6.6;"Calico";"TRUE";18.1;"small"
69;16.47;12.64;"slowmovingwaters";7.9;"Orange";"FALSE";14.4;"really big"
70;4.46;3.06;"lakes";6.9;"Yellow";"TRUE";21.3;"really small"
71;4.56;9.53;"slowmovingwaters";7.0;"Red_and_White_Bi_Color";"FALSE";19.8;"really small"
72;12.25;17.13;"slowmovingwaters";6.0;"Red_and_White_Bi_Color";"FALSE";2.8;"big"
73;8.17;12.0;"rivers";7.9;"Red_and_Silver";"TRUE";18.7;"small"
74;14.05;17.34;"rivers";6.8;"Reddish_Orange";"FALSE";11.6;"big"
75;15.29;6.93;"ponds";6.4;"Red_and_Silver";"FALSE";17.5;"really big"
76;13.04;15.51;"idlewater";7.2;"Calico";"TRUE";26.6;"big"
77;14.62;6.76;"lakes";7.8;"Reddish_Orange";"TRUE";3.1;"big"
78;13.43;9.19;"ponds";6.5;"Red_and_Silver";"TRUE";18.4;"big"
79;9.32;5.94;"slowmovingwaters";6.9;"Calico";"FALSE";16.2;"small"
80;9.29;14.39;"idlewater";6.4;"Red_and_Silver";"FALSE";16.4;"small"
81;12.82;4.64;"ponds";7.6;"White";"FALSE";10.4;"big"
82;18.88;10.85;"rivers";6.7;"Green_and_Chocolate";"TRUE";1.2;"really big"
83;12.79;6.38;"slowmovingwaters";7.7;"Yellow";"FALSE";19.1;"big"
84;3.38;15.76;"slowmovingwaters";7.6;"Black_and_Orange";"FALSE";2.2;"really small"
85;2.97;11.32;"idlewater";7.9;"Yellow";"TRUE";25.8;"really small"
86;10.21;6.14;"lakes";7.3;"Black_and_Orange";"FALSE";24.1;"big"
87;10.95;10.1;"rivers";7.1;"Red_and_White_Bi_Color";"TRUE";25.6;"big"
88;2.64;6.22;"ponds";7.7;"Red_and_Silver";"FALSE";25.9;"really small"
89;6.32;10.15;"lakes";7.3;"Reddish_Orange";"FALSE";18.5;"small"
90;1.11;13.61;"idlewater";6.8;"Green_and_Chocolate";"FALSE";5.5;"really small"
91;1.24;17.02;"slowmovingwaters";7.2;"Reddish_Orange";"FALSE";9.4;"really small"
92;10.91;8.94;"rivers";6.6;"Calico";"TRUE";21.7;"big"
93;14.42;10.69;"ponds";7.8;"Red_and_Silver";"TRUE";11.4;"big"
94;13.68;3.48;"slowmovingwaters";7.5;"Red_and_Silver";"TRUE";22.8;"big"
95;7.17;2.19;"slowmovingwaters";6.3;"Red_and_Silver";"FALSE";14.6;"small"
96;10.7;2.84;"ponds";7.7;"Orange";"TRUE";2.8;"big"
97;8.38;9.06;"slowmovingwaters";7.9;"Reddish_Orange";"FALSE";24.5;"small"
98;3.0;2.78;"lakes";6.8;"Red_and_White_Bi_Color";"FALSE";9.9;"really small"
99;10.83;8.2;"rivers";7.8;"Orange";"TRUE";27.2;"big"
100;4.43;3.89;"rivers";6.6;"Orange";"TRUE";12.9;"really small"
101;7.66;15.9;"idlewater";6.6;"Red_and_Silver";"FALSE";9.8;"small"
102;6.01;6.09;"ponds";7.3;"Green_and_Chocolate";"FALSE";12.3;"small"
103;5.4;9.31;"slowmovingwaters";6.7;"Calico";"FALSE";4.9;"small"
104;12.69;12.82;"ponds";7.3;"Red_and_Silver";"FALSE";21.4;"big"
105;13.56;11.39;"slowmovingwaters";6.8;"Red_and_White_Bi_Color";"FALSE";8.4;"big"
106;15.42;13.9;"lakes";7.1;"Red_and_Silver";"FALSE";5.8;"really big"
107;10.3;3.6;"lakes";6.5;"Orange";"TRUE";8.6;"big"
108;11.42;8.98;"rivers";7.6;"Orange";"TRUE";10.1;"big"
