"id";"average_length_inches";"average_weight_inches";"habitat";"ph_of_water";"color";"Gender";"life_span";"acidity"
1;14.69;5.87;"ponds";6.2;"Reddish_Orange";"FALSE";10.9;"really low ph"
2;1.32;3.86;"idlewater";6.8;"Calico";"TRUE";5.2;"low ph"
3;14.23;12.09;"lakes";7.9;"Reddish_Orange";"TRUE";25.3;"high ph"
4;2.54;3.2;"rivers";6.7;"White";"FALSE";16.4;"low ph"
5;13.1;9.81;"lakes";7.8;"Orange";"TRUE";3.2;"high ph"
6;15.2;8.99;"lakes";7.8;"White";"FALSE";21.6;"high ph"
7;16.17;5.08;"ponds";6.3;"Red_and_Silver";"FALSE";10.9;"really low ph"
8;13.74;13.01;"rivers";6.7;"White";"FALSE";23.1;"low ph"
9;13.21;5.22;"lakes";7.6;"Black_and_Orange";"FALSE";5.4;"high ph"
10;19.04;15.54;"rivers";6.7;"Calico";"TRUE";8.6;"low ph"
11;19.92;3.93;"ponds";7.2;"Yellow";"FALSE";21.7;"intermediate ph"
12;1.1;8.79;"rivers";6.1;"White";"TRUE";13.4;"really low ph"
13;10.83;13.0;"rivers";7.6;"Reddish_Orange";"TRUE";6.6;"high ph"
14;5.97;11.1;"ponds";6.4;"Black_and_Orange";"FALSE";26.6;"really low ph"
15;18.94;11.98;"slowmovingwaters";6.3;"Black_and_Orange";"FALSE";3.6;"really low ph"
16;7.62;11.7;"lakes";7.9;"Black_and_Orange";"FALSE";13.3;"high ph"
17;18.41;16.52;"idlewater";6.7;"Orange";"FALSE";10.1;"low ph"
18;9.1;16.99;"slowmovingwaters";6.6;"Calico";"TRUE";13.7;"low ph"
19;15.02;11.8;"lakes";7.3;"Reddish_Orange";"FALSE";12.2;"intermediate ph"
20;17.69;8.49;"ponds";6.8;"Black_and_Orange";"FALSE";24.1;"low ph"
21;16.37;13.29;"lakes";7.1;"Calico";"TRUE";12.5;"intermediate ph"
22;4.7;4.5;"idlewater";7.8;"Red_and_White_Bi_Color";"TRUE";27.7;"high ph"
23;18.37;15.16;"lakes";6.3;"Orange";"TRUE";22.4;"really low ph"
24;2.79;16.68;"slowmovingwaters";8.0;"Red_and_Silver";"TRUE";16.1;"high ph"
25;19.87;18.59;"lakes";7.6;"Orange";"TRUE";10.0;"high ph"
26;13.93;10.21;"rivers";7.1;"Green_and_Chocolate";"TRUE";15.4;"intermediate ph"
27;19.72;10.48;"rivers";7.8;"Red_and_Silver";"FALSE";10.6;"high ph"
28;2.56;10.26;"slowmovingwaters";7.7;"Red_and_White_Bi_Color";"TRUE";7.7;"high ph"
29;3.97;9.04;"slowmovingwaters";7.7;"White";"TRUE";26.1;"high ph"
30;16.92;2.91;"ponds";6.3;"Orange";"TRUE";8.8;"really low ph"
31;9.51;3.57;"slowmovingwaters";6.7;"Red_and_Silver";"FALSE";19.4;"low ph"
32;5.73;16.68;"slowmovingwaters";6.3;"White";"TRUE";24.2;"really low ph"
33;7.16;12.51;"rivers";7.8;"Green_and_Chocolate";"TRUE";4.4;"high ph"
34;17.0;6.27;"idlewater";7.5;"Orange";"FALSE";27.0;"high ph"
35;18.3;13.69;"slowmovingwaters";6.5;"Calico";"FALSE";25.0;"low ph"
36;6.06;14.69;"rivers";7.4;"Yellow";"FALSE";1.8;"intermediate ph"
37;17.72;16.49;"ponds";7.1;"Green_and_Chocolate";"TRUE";24.6;"intermediate ph"
38;19.46;3.19;"rivers";6.6;"Black_and_Orange";"FALSE";27.0;"low ph"
39;1.01;18.29;"lakes";6.3;"Green_and_Chocolate";"TRUE";17.8;"really low ph"
40;2.18;3.97;"ponds";7.4;"Red_and_Silver";"TRUE";4.9;"intermediate ph"
41;7.3;9.88;"ponds";7.9;"Black_and_Orange";"TRUE";27.7;"high ph"
42;15.48;18.24;"lakes";6.5;"Calico";"TRUE";1.9;"low ph"
43;7.85;11.57;"idlewater";7.8;"White";"TRUE";6.2;"high ph"
44;10.96;10.01;"rivers";7.5;"Black_and_Orange";"TRUE";1.7;"high ph"
45;3.61;8.63;"slowmovingwaters";7.8;"Reddish_Orange";"TRUE";22.9;"high ph"
46;10.28;5.23;"rivers";7.1;"Red_and_Silver";"FALSE";24.6;"intermediate ph"
47;11.54;8.15;"lakes";7.0;"Black_and_Orange";"TRUE";13.8;"intermediate ph"
48;1.64;15.99;"lakes";7.5;"Calico";"FALSE";20.8;"high ph"
49;6.6;8.78;"ponds";6.7;"White";"TRUE";12.8;"low ph"
50;11.54;11.67;"lakes";8.0;"Red_and_Silver";"FALSE";19.4;"high ph"
51;2.6;8.97;"lakes";6.1;"Red_and_White_Bi_Color";"TRUE";21.2;"really low ph"
52;7.86;7.75;"slowmovingwaters";6.2;"Red_and_White_Bi_Color";"FALSE";7.9;"really low ph"
53;2.93;12.07;"slowmovingwaters";7.8;"Orange";"FALSE";13.2;"high ph"
54;17.67;12.24;"slowmovingwaters";7.6;"Yellow";"TRUE";16.0;"high ph"
55;10.89;17.22;"slowmovingwaters";7.0;"Green_and_Chocolate";"TRUE";17.2;"intermediate ph"
56;16.96;8.97;"idlewater";7.5;"Red_and_White_Bi_Color";"TRUE";8.2;"high ph"
57;10.96;13.29;"slowmovingwaters";7.1;"Red_and_White_Bi_Color";"TRUE";26.5;"intermediate ph"
58;8.91;7.82;"idlewater";6.8;"Red_and_Silver";"TRUE";7.2;"low ph"
59;18.68;10.36;"lakes";7.8;"Red_and_Silver";"FALSE";11.4;"high ph"
60;11.61;15.09;"rivers";6.7;"Red_and_Silver";"TRUE";21.2;"low ph"
61;2.48;15.23;"idlewater";6.5;"Red_and_Silver";"TRUE";21.5;"low ph"
62;7.95;8.7;"ponds";7.5;"Red_and_Silver";"TRUE";20.1;"high ph"
63;18.19;5.84;"ponds";6.3;"Red_and_Silver";"FALSE";25.9;"really low ph"
64;19.38;11.89;"ponds";6.5;"White";"TRUE";11.6;"low ph"
65;4.53;7.99;"ponds";7.0;"Green_and_Chocolate";"FALSE";15.1;"intermediate ph"
66;13.25;18.9;"ponds";6.9;"White";"TRUE";15.6;"low ph"
67;10.23;16.19;"slowmovingwaters";6.3;"Green_and_Chocolate";"FALSE";2.5;"really low ph"
68;6.96;9.46;"rivers";6.6;"Calico";"TRUE";18.1;"low ph"
69;16.47;12.64;"slowmovingwaters";7.9;"Orange";"FALSE";14.4;"high ph"
70;4.46;3.06;"lakes";6.9;"Yellow";"TRUE";21.3;"low ph"
71;4.56;9.53;"slowmovingwaters";7.0;"Red_and_White_Bi_Color";"FALSE";19.8;"intermediate ph"
72;12.25;17.13;"slowmovingwaters";6.0;"Red_and_White_Bi_Color";"FALSE";2.8;"really low ph"
73;8.17;12.0;"rivers";7.9;"Red_and_Silver";"TRUE";18.7;"high ph"
74;14.05;17.34;"rivers";6.8;"Reddish_Orange";"FALSE";11.6;"low ph"
75;15.29;6.93;"ponds";6.4;"Red_and_Silver";"FALSE";17.5;"really low ph"
76;13.04;15.51;"idlewater";7.2;"Calico";"TRUE";26.6;"intermediate ph"
77;14.62;6.76;"lakes";7.8;"Reddish_Orange";"TRUE";3.1;"high ph"
78;13.43;9.19;"ponds";6.5;"Red_and_Silver";"TRUE";18.4;"low ph"
79;9.32;5.94;"slowmovingwaters";6.9;"Calico";"FALSE";16.2;"low ph"
80;9.29;14.39;"idlewater";6.4;"Red_and_Silver";"FALSE";16.4;"really low ph"
81;12.82;4.64;"ponds";7.6;"White";"FALSE";10.4;"high ph"
82;18.88;10.85;"rivers";6.7;"Green_and_Chocolate";"TRUE";1.2;"low ph"
83;12.79;6.38;"slowmovingwaters";7.7;"Yellow";"FALSE";19.1;"high ph"
84;3.38;15.76;"slowmovingwaters";7.6;"Black_and_Orange";"FALSE";2.2;"high ph"
85;2.97;11.32;"idlewater";7.9;"Yellow";"TRUE";25.8;"high ph"
86;10.21;6.14;"lakes";7.3;"Black_and_Orange";"FALSE";24.1;"intermediate ph"
87;10.95;10.1;"rivers";7.1;"Red_and_White_Bi_Color";"TRUE";25.6;"intermediate ph"
88;2.64;6.22;"ponds";7.7;"Red_and_Silver";"FALSE";25.9;"high ph"
89;6.32;10.15;"lakes";7.3;"Reddish_Orange";"FALSE";18.5;"intermediate ph"
90;1.11;13.61;"idlewater";6.8;"Green_and_Chocolate";"FALSE";5.5;"low ph"
91;1.24;17.02;"slowmovingwaters";7.2;"Reddish_Orange";"FALSE";9.4;"intermediate ph"
92;10.91;8.94;"rivers";6.6;"Calico";"TRUE";21.7;"low ph"
93;14.42;10.69;"ponds";7.8;"Red_and_Silver";"TRUE";11.4;"high ph"
94;13.68;3.48;"slowmovingwaters";7.5;"Red_and_Silver";"TRUE";22.8;"high ph"
95;7.17;2.19;"slowmovingwaters";6.3;"Red_and_Silver";"FALSE";14.6;"really low ph"
96;10.7;2.84;"ponds";7.7;"Orange";"TRUE";2.8;"high ph"
97;8.38;9.06;"slowmovingwaters";7.9;"Reddish_Orange";"FALSE";24.5;"high ph"
98;3.0;2.78;"lakes";6.8;"Red_and_White_Bi_Color";"FALSE";9.9;"low ph"
99;10.83;8.2;"rivers";7.8;"Orange";"TRUE";27.2;"high ph"
100;4.43;3.89;"rivers";6.6;"Orange";"TRUE";12.9;"low ph"
101;7.66;15.9;"idlewater";6.6;"Red_and_Silver";"FALSE";9.8;"low ph"
102;6.01;6.09;"ponds";7.3;"Green_and_Chocolate";"FALSE";12.3;"intermediate ph"
103;5.4;9.31;"slowmovingwaters";6.7;"Calico";"FALSE";4.9;"low ph"
104;12.69;12.82;"ponds";7.3;"Red_and_Silver";"FALSE";21.4;"intermediate ph"
105;13.56;11.39;"slowmovingwaters";6.8;"Red_and_White_Bi_Color";"FALSE";8.4;"low ph"
106;15.42;13.9;"lakes";7.1;"Red_and_Silver";"FALSE";5.8;"intermediate ph"
107;10.3;3.6;"lakes";6.5;"Orange";"TRUE";8.6;"low ph"
108;11.42;8.98;"rivers";7.6;"Orange";"TRUE";10.1;"high ph"
109;5.93;6.65;"slowmovingwaters";6.5;"Red_and_White_Bi_Color";"TRUE";10.7;"low ph"
110;6.84;15.89;"lakes";6.5;"Yellow";"TRUE";18.3;"low ph"
111;17.79;18.24;"slowmovingwaters";6.3;"Green_and_Chocolate";"FALSE";22.6;"really low ph"
112;9.88;15.54;"rivers";6.4;"Yellow";"TRUE";11.7;"really low ph"
113;14.08;17.34;"idlewater";7.9;"Red_and_Silver";"TRUE";7.3;"high ph"
114;6.37;3.63;"ponds";7.1;"White";"TRUE";5.2;"intermediate ph"
115;5.44;3.71;"idlewater";7.5;"Green_and_Chocolate";"FALSE";8.3;"high ph"
116;4.3;7.57;"ponds";6.4;"Yellow";"TRUE";24.0;"really low ph"
117;15.76;15.6;"lakes";6.4;"White";"FALSE";3.2;"really low ph"
118;11.39;13.56;"idlewater";7.2;"White";"FALSE";18.0;"intermediate ph"
119;3.85;5.3;"slowmovingwaters";7.4;"Red_and_Silver";"TRUE";7.0;"intermediate ph"
120;11.3;3.82;"lakes";6.8;"Black_and_Orange";"FALSE";3.8;"low ph"
121;2.94;2.37;"lakes";6.3;"Red_and_White_Bi_Color";"TRUE";6.8;"really low ph"
122;12.22;16.04;"lakes";6.4;"White";"FALSE";8.5;"really low ph"
123;8.32;15.88;"idlewater";6.1;"White";"FALSE";26.1;"really low ph"
124;18.91;7.38;"rivers";7.4;"Red_and_Silver";"FALSE";10.6;"intermediate ph"
125;16.25;2.79;"ponds";7.1;"Calico";"TRUE";18.8;"intermediate ph"
126;13.82;15.55;"lakes";7.5;"Reddish_Orange";"FALSE";12.7;"high ph"
127;5.12;4.04;"idlewater";7.6;"Red_and_Silver";"FALSE";3.0;"high ph"
128;5.04;6.73;"slowmovingwaters";7.6;"Reddish_Orange";"FALSE";27.2;"high ph"
129;19.56;8.12;"rivers";6.4;"Orange";"FALSE";1.8;"really low ph"
130;9.28;2.99;"rivers";6.3;"Green_and_Chocolate";"TRUE";17.4;"really low ph"
131;16.43;8.02;"lakes";6.9;"Calico";"TRUE";11.0;"low ph"
132;13.97;9.2;"idlewater";6.2;"Yellow";"FALSE";8.3;"really low ph"
133;11.19;3.52;"lakes";7.1;"Red_and_Silver";"TRUE";2.4;"intermediate ph"
134;12.99;9.61;"lakes";6.8;"Reddish_Orange";"TRUE";6.4;"low ph"
135;1.41;7.07;"ponds";7.3;"Red_and_White_Bi_Color";"TRUE";26.3;"intermediate ph"
136;15.4;8.39;"ponds";7.4;"Red_and_Silver";"TRUE";16.9;"intermediate ph"
137;1.88;13.08;"slowmovingwaters";7.4;"Black_and_Orange";"TRUE";14.9;"intermediate ph"
138;3.01;12.28;"idlewater";7.8;"Red_and_Silver";"FALSE";26.1;"high ph"
139;16.87;9.76;"ponds";6.1;"Red_and_Silver";"FALSE";15.0;"really low ph"
140;6.82;18.05;"idlewater";6.8;"Red_and_White_Bi_Color";"TRUE";16.4;"low ph"
