"id";"average_length_inches";"average_weight_inches";"habitat";"ph_of_water";"color";"Gender";"life_span";"weight"
1;14.69;5.87;"ponds";6.2;"Reddish_Orange";"FALSE";10.9;"low"
2;1.32;3.86;"idlewater";6.8;"Calico";"TRUE";5.2;"really low"
3;14.23;12.09;"lakes";7.9;"Reddish_Orange";"TRUE";25.3;"intermediate"
4;2.54;3.2;"rivers";6.7;"White";"FALSE";16.4;"really low"
5;13.1;9.81;"lakes";7.8;"Orange";"TRUE";3.2;"low"
6;15.2;8.99;"lakes";7.8;"White";"FALSE";21.6;"low"
7;16.17;5.08;"ponds";6.3;"Red_and_Silver";"FALSE";10.9;"low"
8;13.74;13.01;"rivers";6.7;"White";"FALSE";23.1;"intermediate"
9;13.21;5.22;"lakes";7.6;"Black_and_Orange";"FALSE";5.4;"low"
10;19.04;15.54;"rivers";6.7;"Calico";"TRUE";8.6;"high"
11;19.92;3.93;"ponds";7.2;"Yellow";"FALSE";21.7;"really low"
12;1.1;8.79;"rivers";6.1;"White";"TRUE";13.4;"low"
13;10.83;13.0;"rivers";7.6;"Reddish_Orange";"TRUE";6.6;"intermediate"
14;5.97;11.1;"ponds";6.4;"Black_and_Orange";"FALSE";26.6;"intermediate"
15;18.94;11.98;"slowmovingwaters";6.3;"Black_and_Orange";"FALSE";3.6;"intermediate"
16;7.62;11.7;"lakes";7.9;"Black_and_Orange";"FALSE";13.3;"intermediate"
17;18.41;16.52;"idlewater";6.7;"Orange";"FALSE";10.1;"high"
18;9.1;16.99;"slowmovingwaters";6.6;"Calico";"TRUE";13.7;"high"
19;15.02;11.8;"lakes";7.3;"Reddish_Orange";"FALSE";12.2;"intermediate"
20;17.69;8.49;"ponds";6.8;"Black_and_Orange";"FALSE";24.1;"low"
21;16.37;13.29;"lakes";7.1;"Calico";"TRUE";12.5;"intermediate"
22;4.7;4.5;"idlewater";7.8;"Red_and_White_Bi_Color";"TRUE";27.7;"really low"
23;18.37;15.16;"lakes";6.3;"Orange";"TRUE";22.4;"high"
24;2.79;16.68;"slowmovingwaters";8.0;"Red_and_Silver";"TRUE";16.1;"high"
25;19.87;18.59;"lakes";7.6;"Orange";"TRUE";10.0;"high"
26;13.93;10.21;"rivers";7.1;"Green_and_Chocolate";"TRUE";15.4;"intermediate"
27;19.72;10.48;"rivers";7.8;"Red_and_Silver";"FALSE";10.6;"intermediate"
28;2.56;10.26;"slowmovingwaters";7.7;"Red_and_White_Bi_Color";"TRUE";7.7;"intermediate"
29;3.97;9.04;"slowmovingwaters";7.7;"White";"TRUE";26.1;"low"
30;16.92;2.91;"ponds";6.3;"Orange";"TRUE";8.8;"really low"
31;9.51;3.57;"slowmovingwaters";6.7;"Red_and_Silver";"FALSE";19.4;"really low"
32;5.73;16.68;"slowmovingwaters";6.3;"White";"TRUE";24.2;"high"
33;7.16;12.51;"rivers";7.8;"Green_and_Chocolate";"TRUE";4.4;"intermediate"
34;17.0;6.27;"idlewater";7.5;"Orange";"FALSE";27.0;"low"
35;18.3;13.69;"slowmovingwaters";6.5;"Calico";"FALSE";25.0;"intermediate"
36;6.06;14.69;"rivers";7.4;"Yellow";"FALSE";1.8;"intermediate"
37;17.72;16.49;"ponds";7.1;"Green_and_Chocolate";"TRUE";24.6;"high"
38;19.46;3.19;"rivers";6.6;"Black_and_Orange";"FALSE";27.0;"really low"
39;1.01;18.29;"lakes";6.3;"Green_and_Chocolate";"TRUE";17.8;"high"
40;2.18;3.97;"ponds";7.4;"Red_and_Silver";"TRUE";4.9;"really low"
41;7.3;9.88;"ponds";7.9;"Black_and_Orange";"TRUE";27.7;"low"
42;15.48;18.24;"lakes";6.5;"Calico";"TRUE";1.9;"high"
43;7.85;11.57;"idlewater";7.8;"White";"TRUE";6.2;"intermediate"
44;10.96;10.01;"rivers";7.5;"Black_and_Orange";"TRUE";1.7;"intermediate"
45;3.61;8.63;"slowmovingwaters";7.8;"Reddish_Orange";"TRUE";22.9;"low"
46;10.28;5.23;"rivers";7.1;"Red_and_Silver";"FALSE";24.6;"low"
47;11.54;8.15;"lakes";7.0;"Black_and_Orange";"TRUE";13.8;"low"
48;1.64;15.99;"lakes";7.5;"Calico";"FALSE";20.8;"high"
49;6.6;8.78;"ponds";6.7;"White";"TRUE";12.8;"low"
50;11.54;11.67;"lakes";8.0;"Red_and_Silver";"FALSE";19.4;"intermediate"
51;2.6;8.97;"lakes";6.1;"Red_and_White_Bi_Color";"TRUE";21.2;"low"
52;7.86;7.75;"slowmovingwaters";6.2;"Red_and_White_Bi_Color";"FALSE";7.9;"low"
53;2.93;12.07;"slowmovingwaters";7.8;"Orange";"FALSE";13.2;"intermediate"
54;17.67;12.24;"slowmovingwaters";7.6;"Yellow";"TRUE";16.0;"intermediate"
55;10.89;17.22;"slowmovingwaters";7.0;"Green_and_Chocolate";"TRUE";17.2;"high"
56;16.96;8.97;"idlewater";7.5;"Red_and_White_Bi_Color";"TRUE";8.2;"low"
57;10.96;13.29;"slowmovingwaters";7.1;"Red_and_White_Bi_Color";"TRUE";26.5;"intermediate"
58;8.91;7.82;"idlewater";6.8;"Red_and_Silver";"TRUE";7.2;"low"
59;18.68;10.36;"lakes";7.8;"Red_and_Silver";"FALSE";11.4;"intermediate"
60;11.61;15.09;"rivers";6.7;"Red_and_Silver";"TRUE";21.2;"high"
61;2.48;15.23;"idlewater";6.5;"Red_and_Silver";"TRUE";21.5;"high"
62;7.95;8.7;"ponds";7.5;"Red_and_Silver";"TRUE";20.1;"low"
63;18.19;5.84;"ponds";6.3;"Red_and_Silver";"FALSE";25.9;"low"
64;19.38;11.89;"ponds";6.5;"White";"TRUE";11.6;"intermediate"
65;4.53;7.99;"ponds";7.0;"Green_and_Chocolate";"FALSE";15.1;"low"
66;13.25;18.9;"ponds";6.9;"White";"TRUE";15.6;"high"
67;10.23;16.19;"slowmovingwaters";6.3;"Green_and_Chocolate";"FALSE";2.5;"high"
68;6.96;9.46;"rivers";6.6;"Calico";"TRUE";18.1;"low"
69;16.47;12.64;"slowmovingwaters";7.9;"Orange";"FALSE";14.4;"intermediate"
70;4.46;3.06;"lakes";6.9;"Yellow";"TRUE";21.3;"really low"
71;4.56;9.53;"slowmovingwaters";7.0;"Red_and_White_Bi_Color";"FALSE";19.8;"low"
72;12.25;17.13;"slowmovingwaters";6.0;"Red_and_White_Bi_Color";"FALSE";2.8;"high"
73;8.17;12.0;"rivers";7.9;"Red_and_Silver";"TRUE";18.7;"intermediate"
74;14.05;17.34;"rivers";6.8;"Reddish_Orange";"FALSE";11.6;"high"
75;15.29;6.93;"ponds";6.4;"Red_and_Silver";"FALSE";17.5;"low"
76;13.04;15.51;"idlewater";7.2;"Calico";"TRUE";26.6;"high"
77;14.62;6.76;"lakes";7.8;"Reddish_Orange";"TRUE";3.1;"low"
78;13.43;9.19;"ponds";6.5;"Red_and_Silver";"TRUE";18.4;"low"
79;9.32;5.94;"slowmovingwaters";6.9;"Calico";"FALSE";16.2;"low"
80;9.29;14.39;"idlewater";6.4;"Red_and_Silver";"FALSE";16.4;"intermediate"
81;12.82;4.64;"ponds";7.6;"White";"FALSE";10.4;"really low"
82;18.88;10.85;"rivers";6.7;"Green_and_Chocolate";"TRUE";1.2;"intermediate"
83;12.79;6.38;"slowmovingwaters";7.7;"Yellow";"FALSE";19.1;"low"
84;3.38;15.76;"slowmovingwaters";7.6;"Black_and_Orange";"FALSE";2.2;"high"
85;2.97;11.32;"idlewater";7.9;"Yellow";"TRUE";25.8;"intermediate"
86;10.21;6.14;"lakes";7.3;"Black_and_Orange";"FALSE";24.1;"low"
